train_no,train_type,current_station,next_station,distance_remaining_km,current_speed_kmph,current_delay_min,historical_avg_delay_min,congestion_score,weather,hour,day_of_week,actual_remaining_time_min
12627,Express,Warangal,Secunderabad,164.3,57.0,21.3,4.8,0.467,Clear,9,6,208.0
12860,Express,Kalaburagi,Wadi,97.6,70.6,6.0,3.8,0.327,Clear,8,4,89.7
12860,Express,Wadi,Secunderabad,156.1,63.7,30.5,14.9,0.32,Clear,9,2,178.8
12627,Express,Gudur,Nellore,67.4,59.1,4.5,2.5,0.223,Clear,2,6,78.3
12627,Express,Gudur,Nellore,65.1,62.4,23.6,17.7,0.181,Clear,2,4,98.6
12951,Rajdhani,Ratlam,Kota,232.1,76.4,2.8,13.0,0.149,Clear,7,1,183.9
12301,Rajdhani,Gaya,Howrah,165.0,62.9,8.4,1.9,0.348,Clear,10,5,189.8
12627,Express,Vijayawada,Warangal,143.6,54.0,-5.0,18.7,0.275,Clear,6,3,197.9
12951,Rajdhani,Kota,New Delhi,284.2,82.4,2.2,11.0,0.294,Clear,11,5,208.6
12951,Rajdhani,Ratlam,Kota,235.5,77.1,8.8,3.0,0.313,Rain,7,0,187.7
12951,Rajdhani,Vadodara,Ratlam,194.6,73.4,15.3,6.0,0.397,Clear,5,5,187.4
12951,Rajdhani,Mumbai,Surat,174.8,64.3,4.3,15.9,0.095,Clear,23,3,186.1
12951,Rajdhani,Vadodara,Ratlam,244.5,75.1,18.0,30.0,0.299,Clear,5,0,200.0
12860,Express,Kalaburagi,Wadi,109.5,78.1,19.8,7.7,0.458,Clear,7,3,101.9
12951,Rajdhani,Mumbai,Surat,194.1,75.3,13.4,15.9,0.287,Clear,0,3,198.3
12723,Express,Vijayawada,Gudur,217.2,65.7,13.6,7.1,0.162,Clear,6,6,205.6
12860,Express,Solapur,Kalaburagi,125.5,48.2,28.1,8.3,0.111,Clear,5,1,176.5
12723,Express,Hyderabad,Kazipet,147.6,67.3,18.7,27.2,0.478,Clear,23,2,142.4
12627,Express,Chennai,Gudur,109.9,44.4,-1.3,3.6,0.067,Rain,0,5,170.0
12860,Express,Solapur,Kalaburagi,190.3,70.9,8.4,15.7,0.432,Clear,7,4,161.1
12627,Express,Warangal,Secunderabad,218.7,66.5,-5.0,18.3,0.71,Clear,9,3,208.2
12627,Express,Warangal,Secunderabad,251.2,75.8,12.2,13.2,0.274,Fog,9,3,205.1
12627,Express,Vijayawada,Warangal,189.5,70.0,36.3,0.0,0.461,Heavy Rain,6,2,214.2
12259,Duronto,DDU,New Delhi,215.9,67.4,26.9,7.4,0.479,Fog,9,2,230.3
12627,Express,Nellore,Vijayawada,166.2,61.5,30.5,12.4,0.16,Rain,4,3,206.1
12259,Duronto,Gaya,DDU,178.4,66.5,-3.0,13.1,0.236,Clear,5,0,159.5
12259,Duronto,Dhanbad,Gaya,140.0,60.6,13.8,22.6,0.185,Clear,3,5,164.6
12860,Express,Mumbai,Pune,233.4,65.5,5.9,10.0,0.214,Clear,0,6,188.5
12951,Rajdhani,Surat,Vadodara,106.1,61.3,3.9,0.0,0.036,Clear,3,5,115.1
12951,Rajdhani,Mumbai,Surat,206.2,72.9,-5.0,0.0,0.338,Rain,23,1,193.4
12723,Express,Kazipet,Warangal,40.0,57.3,18.8,19.0,0.071,Rain,3,1,55.6
12259,Duronto,DDU,New Delhi,231.1,67.8,14.7,16.2,0.131,Clear,9,0,216.7
12627,Express,Chennai,Gudur,105.5,39.6,5.0,0.0,0.467,Clear,0,5,176.6
12860,Express,Kalaburagi,Wadi,102.8,69.2,42.5,5.1,0.141,Rain,7,3,111.9
12860,Express,Mumbai,Pune,218.0,77.0,15.1,8.0,0.337,Clear,0,5,210.3
12951,Rajdhani,Surat,Vadodara,142.6,79.5,15.4,5.7,0.416,Rain,3,0,134.2
12301,Rajdhani,DDU,Gaya,126.3,58.8,7.6,14.9,0.363,Heavy Rain,8,3,163.0
12259,Duronto,Dhanbad,Gaya,221.9,81.8,10.4,4.8,0.105,Rain,4,2,154.4
12627,Express,Gudur,Nellore,56.3,46.0,19.2,14.0,0.219,Heavy Rain,2,3,110.0
12860,Express,Pune,Solapur,173.9,65.1,-5.0,17.6,0.607,Clear,3,5,200.9
12259,Duronto,DDU,New Delhi,204.7,60.0,-1.4,7.3,0.521,Heavy Rain,9,4,234.4
12627,Express,Gudur,Nellore,56.5,57.9,33.4,1.2,0.535,Rain,1,4,92.6
12723,Express,Vijayawada,Gudur,213.0,57.1,6.8,13.1,0.461,Rain,5,0,219.6
12259,Duronto,Sealdah,Asansol,203.2,72.3,-0.8,10.3,0.415,Clear,0,1,165.1
12627,Express,Vijayawada,Warangal,135.9,50.0,1.2,12.4,0.356,Rain,6,0,215.8
12951,Rajdhani,Mumbai,Surat,244.3,76.6,-1.6,10.0,0.005,Fog,0,2,186.1
12259,Duronto,Asansol,Dhanbad,111.5,70.1,28.2,2.3,0.477,Clear,3,1,113.5
12723,Express,Hyderabad,Kazipet,156.0,74.7,16.8,4.0,0.039,Fog,0,0,138.8
12259,Duronto,DDU,New Delhi,229.4,74.3,2.7,0.0,0.157,Clear,9,6,204.0
12723,Express,Gudur,Chennai,165.4,58.6,31.3,14.6,0.195,Rain,9,6,222.2
12951,Rajdhani,Kota,New Delhi,205.2,68.9,13.7,25.4,0.109,Fog,11,2,220.3
12723,Express,Warangal,Vijayawada,224.5,60.7,9.0,14.4,0.117,Clear,3,2,200.7
12951,Rajdhani,Mumbai,Surat,211.4,64.1,29.3,12.4,0.212,Clear,23,3,194.3
12259,Duronto,Gaya,DDU,201.3,69.5,6.7,6.4,0.144,Clear,7,3,187.6
12723,Express,Hyderabad,Kazipet,114.0,49.5,5.9,18.8,0.29,Clear,0,5,160.8
12860,Express,Mumbai,Pune,222.5,66.1,-0.2,9.8,0.213,Clear,0,1,197.4
12951,Rajdhani,Kota,New Delhi,207.2,69.5,4.5,0.0,0.394,Clear,11,2,214.3
12723,Express,Warangal,Vijayawada,172.5,62.2,16.6,0.0,0.531,Clear,3,1,208.1
12860,Express,Solapur,Kalaburagi,147.3,53.8,6.1,19.6,0.29,Clear,6,4,182.5
12723,Express,Gudur,Chennai,229.9,61.9,11.9,0.0,0.153,Clear,9,1,207.3
12860,Express,Pune,Solapur,161.3,53.6,19.0,12.7,0.115,Rain,4,4,199.9
12723,Express,Gudur,Chennai,187.5,53.0,0.3,14.6,0.108,Fog,9,3,218.5
12259,Duronto,Dhanbad,Gaya,169.9,72.1,11.2,17.3,0.314,Clear,3,2,157.6
12951,Rajdhani,Mumbai,Surat,144.5,54.3,12.5,15.4,0.756,Clear,0,0,219.2
12951,Rajdhani,Surat,Vadodara,125.2,69.5,12.9,17.2,0.165,Clear,3,0,138.1
12951,Rajdhani,Mumbai,Surat,211.3,65.9,22.0,20.7,0.218,Clear,23,5,188.3
12723,Express,Vijayawada,Gudur,193.6,65.9,16.0,5.4,0.453,Clear,5,2,215.8
12951,Rajdhani,Ratlam,Kota,217.1,71.9,28.8,0.0,0.563,Fog,7,1,205.9
12627,Express,Chennai,Gudur,146.8,64.0,11.7,26.0,0.44,Clear,0,0,166.9
12301,Rajdhani,DDU,Gaya,142.3,70.9,10.8,10.6,0.139,Clear,8,5,143.5
12860,Express,Wadi,Secunderabad,194.4,67.4,8.3,0.6,0.415,Clear,9,2,167.4
12627,Express,Vijayawada,Warangal,186.1,54.0,-5.0,2.5,0.545,Fog,6,5,211.5
12301,Rajdhani,Gaya,Howrah,255.0,84.7,-5.0,29.8,0.639,Heavy Rain,10,1,193.8
12860,Express,Mumbai,Pune,136.9,43.5,29.1,18.5,0.068,Rain,23,3,250.7
12723,Express,Hyderabad,Kazipet,173.5,80.0,5.3,12.8,0.175,Rain,0,4,144.4
12723,Express,Vijayawada,Gudur,207.0,61.6,29.0,22.3,0.297,Clear,6,4,228.2
12860,Express,Kalaburagi,Wadi,93.4,65.4,17.2,5.1,0.28,Clear,7,1,82.2
12723,Express,Kazipet,Warangal,41.4,61.8,15.2,2.4,0.34,Clear,1,2,42.0
12951,Rajdhani,Ratlam,Kota,206.3,72.1,-0.0,7.9,0.262,Rain,7,4,193.5
12860,Express,Mumbai,Pune,158.8,56.2,17.4,2.1,0.1,Clear,0,1,216.4
12951,Rajdhani,Surat,Vadodara,123.8,62.2,32.3,20.3,0.035,Clear,2,0,137.6
12259,Duronto,DDU,New Delhi,171.1,58.4,27.7,3.1,0.154,Rain,9,3,213.4
12301,Rajdhani,DDU,Gaya,162.1,77.4,9.7,17.2,0.273,Heavy Rain,7,6,157.9
12259,Duronto,Sealdah,Asansol,204.3,80.7,22.8,16.4,0.153,Clear,0,5,156.9
12627,Express,Chennai,Gudur,153.5,56.9,7.9,6.3,0.09,Clear,0,5,159.1
12951,Rajdhani,Ratlam,Kota,208.5,65.0,3.1,9.6,0.45,Clear,7,2,198.7
12723,Express,Hyderabad,Kazipet,141.2,65.7,25.1,11.5,0.205,Fog,23,6,151.6
12723,Express,Vijayawada,Gudur,211.1,71.5,10.7,18.1,0.279,Clear,6,0,212.2
12259,Duronto,Dhanbad,Gaya,154.7,72.4,11.4,13.2,0.162,Rain,4,3,158.1
12301,Rajdhani,Prayagraj,DDU,179.0,64.1,10.5,7.6,0.265,Clear,5,1,166.1
12301,Rajdhani,DDU,Gaya,159.4,76.9,24.8,6.3,0.251,Clear,6,6,151.2
12951,Rajdhani,Ratlam,Kota,160.8,56.0,6.7,8.9,0.096,Clear,7,0,186.3
12301,Rajdhani,Prayagraj,DDU,234.7,84.0,-1.4,14.1,0.419,Clear,5,0,173.4
12301,Rajdhani,DDU,Gaya,187.2,88.4,14.8,0.0,0.871,Rain,7,1,150.7
12301,Rajdhani,DDU,Gaya,138.5,60.1,21.5,3.0,0.351,Clear,7,1,155.8
12627,Express,Gudur,Nellore,77.9,64.5,0.0,8.7,0.549,Clear,2,5,67.2
12627,Express,Vijayawada,Warangal,175.5,62.7,22.0,0.0,0.207,Clear,6,4,198.3
12301,Rajdhani,Kanpur,Prayagraj,215.9,75.3,7.6,15.6,0.196,Fog,1,4,174.7
12259,Duronto,Sealdah,Asansol,180.1,82.5,8.2,14.0,0.108,Clear,23,0,154.0
12259,Duronto,Gaya,DDU,222.1,73.2,16.7,0.0,0.12,Rain,6,0,180.9
12951,Rajdhani,Mumbai,Surat,236.8,79.8,23.1,21.4,0.182,Clear,0,2,192.8
12951,Rajdhani,Mumbai,Surat,179.2,61.7,13.1,5.0,0.239,Clear,0,6,194.9
12301,Rajdhani,New Delhi,Kanpur,166.1,59.2,7.1,9.2,0.137,Clear,0,3,168.5
12627,Express,Warangal,Secunderabad,193.1,68.1,2.2,0.0,0.214,Clear,9,4,181.6
12301,Rajdhani,Gaya,Howrah,248.5,80.7,15.8,4.3,0.405,Clear,10,0,182.7
12301,Rajdhani,Prayagraj,DDU,187.1,70.0,-2.6,14.0,0.058,Clear,4,4,163.6
12951,Rajdhani,Surat,Vadodara,128.8,58.9,19.3,13.3,0.093,Clear,2,3,142.3
12723,Express,Hyderabad,Kazipet,149.8,62.8,22.2,4.9,0.366,Clear,23,3,153.8
12301,Rajdhani,DDU,Gaya,131.1,65.7,3.9,21.1,0.197,Rain,7,0,156.1
12627,Express,Chennai,Gudur,136.5,61.6,-0.6,11.4,0.236,Rain,0,5,162.4
12951,Rajdhani,Surat,Vadodara,119.4,61.9,9.1,2.3,0.088,Fog,2,4,138.8
12723,Express,Warangal,Vijayawada,199.5,72.0,1.7,7.9,0.092,Rain,2,5,193.9
12627,Express,Chennai,Gudur,119.3,56.1,24.1,3.0,0.666,Fog,23,4,180.4
12723,Express,Kazipet,Warangal,40.0,54.4,25.0,5.5,0.22,Clear,2,4,54.5
12627,Express,Vijayawada,Warangal,220.3,70.0,-1.3,0.0,0.232,Clear,5,0,189.1
12301,Rajdhani,Kanpur,Prayagraj,146.2,61.8,9.6,0.0,0.058,Clear,3,4,172.4
12259,Duronto,Sealdah,Asansol,152.6,60.6,9.5,13.9,0.275,Clear,0,5,160.7
12259,Duronto,Sealdah,Asansol,166.8,71.3,-1.2,13.2,0.026,Clear,0,5,148.5
12259,Duronto,Asansol,Dhanbad,108.3,62.3,12.7,15.4,0.396,Heavy Rain,2,2,115.9
12259,Duronto,Dhanbad,Gaya,195.9,74.3,28.5,2.1,0.27,Clear,4,5,157.2
12860,Express,Mumbai,Pune,175.9,56.7,2.3,13.1,0.313,Clear,0,2,219.2
12301,Rajdhani,Gaya,Howrah,229.0,74.4,-5.0,25.8,0.483,Rain,10,4,194.7
12951,Rajdhani,Vadodara,Ratlam,211.3,76.4,4.2,4.1,0.179,Fog,5,3,178.1
12301,Rajdhani,Prayagraj,DDU,149.1,62.9,9.7,24.2,0.286,Clear,5,2,178.0
12259,Duronto,Asansol,Dhanbad,110.9,75.6,14.8,24.5,0.171,Clear,2,0,102.4
12627,Express,Nellore,Vijayawada,245.3,77.8,4.4,17.6,0.226,Heavy Rain,3,3,195.1
12860,Express,Wadi,Secunderabad,212.7,70.3,36.8,18.4,0.222,Clear,9,5,185.7
12627,Express,Nellore,Vijayawada,163.2,59.8,18.4,21.7,0.15,Clear,3,0,199.5
12627,Express,Gudur,Nellore,62.6,66.0,13.9,10.6,0.131,Clear,2,2,76.8
12627,Express,Nellore,Vijayawada,149.8,55.5,26.4,0.0,0.107,Heavy Rain,2,0,215.4
12627,Express,Gudur,Nellore,49.5,51.8,19.3,11.0,0.214,Fog,3,5,91.5
12723,Express,Gudur,Chennai,269.0,75.7,15.3,0.5,0.065,Clear,8,5,203.1
12627,Express,Chennai,Gudur,153.9,63.5,25.2,13.1,0.046,Clear,0,6,167.6
12627,Express,Vijayawada,Warangal,195.7,63.5,17.6,10.3,0.469,Fog,6,6,202.6
12723,Express,Hyderabad,Kazipet,125.2,55.5,28.5,3.2,0.3,Clear,0,6,152.1
12259,Duronto,DDU,New Delhi,257.8,71.7,16.8,0.0,0.314,Rain,9,3,214.3
12723,Express,Hyderabad,Kazipet,122.9,54.0,4.3,15.5,0.391,Clear,0,6,152.2
12259,Duronto,Sealdah,Asansol,166.8,66.2,17.7,12.3,0.438,Clear,23,1,162.1
12951,Rajdhani,Ratlam,Kota,223.3,71.9,4.9,8.4,0.265,Fog,8,6,202.0
12627,Express,Vijayawada,Warangal,200.2,75.1,19.2,15.6,0.299,Clear,6,4,194.6
12860,Express,Mumbai,Pune,170.6,60.0,16.8,10.2,0.142,Clear,0,3,203.4
12860,Express,Wadi,Secunderabad,128.1,56.1,5.1,3.9,0.458,Clear,10,2,182.0
12951,Rajdhani,Surat,Vadodara,128.0,66.8,16.6,15.9,0.151,Clear,3,5,140.0
12860,Express,Kalaburagi,Wadi,92.4,70.3,27.1,7.8,0.127,Clear,8,5,89.2
12259,Duronto,DDU,New Delhi,213.3,63.3,12.9,17.4,0.475,Clear,9,3,224.8
12259,Duronto,Dhanbad,Gaya,173.9,69.1,22.7,3.8,0.39,Clear,3,0,152.8
12723,Express,Hyderabad,Kazipet,125.1,59.0,41.3,22.3,0.191,Fog,23,5,157.0
12301,Rajdhani,DDU,Gaya,179.4,71.5,26.1,5.9,0.374,Clear,7,1,156.1
12259,Duronto,DDU,New Delhi,210.7,67.6,-4.6,0.0,0.163,Fog,8,6,206.9
12951,Rajdhani,Mumbai,Surat,191.0,59.1,2.9,12.0,0.107,Fog,0,5,208.8
12860,Express,Wadi,Secunderabad,132.6,54.7,10.4,5.1,0.171,Clear,10,1,177.3
12723,Express,Hyderabad,Kazipet,134.8,55.9,-3.6,23.0,0.159,Clear,0,3,142.0
12723,Express,Warangal,Vijayawada,152.5,55.1,5.1,21.2,0.05,Clear,3,1,212.9
12259,Duronto,Gaya,DDU,120.0,50.1,6.5,0.0,0.126,Rain,6,3,192.4
12860,Express,Wadi,Secunderabad,189.9,65.6,17.4,10.5,0.419,Clear,10,5,181.5
12627,Express,Chennai,Gudur,125.8,52.7,1.5,2.2,0.317,Clear,23,3,158.8
12723,Express,Warangal,Vijayawada,183.6,58.0,8.2,3.4,0.2,Fog,2,0,221.3
12301,Rajdhani,Gaya,Howrah,164.1,59.2,15.0,17.4,0.115,Rain,10,5,199.1
12951,Rajdhani,Kota,New Delhi,235.9,62.5,42.6,11.0,0.346,Clear,10,1,220.6
12259,Duronto,Gaya,DDU,144.3,59.0,29.8,15.5,0.245,Rain,7,5,199.5
12860,Express,Wadi,Secunderabad,154.4,62.4,19.5,9.1,0.123,Clear,10,3,165.3
12723,Express,Kazipet,Warangal,46.4,69.6,3.3,19.3,0.498,Fog,1,3,52.1
12951,Rajdhani,Mumbai,Surat,193.2,65.0,7.9,9.9,0.114,Fog,0,2,200.1
12259,Duronto,Asansol,Dhanbad,101.0,66.2,9.0,10.2,0.183,Heavy Rain,2,1,115.3
12627,Express,Vijayawada,Warangal,192.9,69.9,13.8,3.5,0.378,Clear,6,2,202.3
12723,Express,Vijayawada,Gudur,216.0,62.5,-5.0,1.5,0.161,Rain,6,2,195.2
12951,Rajdhani,Surat,Vadodara,128.1,69.2,9.4,8.7,0.37,Heavy Rain,2,0,142.0
12860,Express,Pune,Solapur,204.5,63.3,21.2,2.8,0.143,Clear,3,3,203.3
12860,Express,Mumbai,Pune,190.3,58.2,-5.0,13.8,0.136,Rain,23,6,205.8
12301,Rajdhani,Gaya,Howrah,185.7,66.3,-4.6,5.1,0.277,Fog,10,1,185.5
12627,Express,Warangal,Secunderabad,200.1,60.8,1.2,4.3,0.084,Clear,9,6,190.8
12951,Rajdhani,Surat,Vadodara,123.9,66.6,2.7,14.8,0.174,Clear,3,3,129.0
12860,Express,Wadi,Secunderabad,168.5,60.8,18.7,10.2,0.391,Clear,11,4,192.3
12723,Express,Gudur,Chennai,193.8,68.1,23.1,4.1,0.256,Fog,9,4,211.2
12627,Express,Chennai,Gudur,125.0,47.1,23.0,20.5,0.127,Fog,0,1,178.3
12301,Rajdhani,Gaya,Howrah,193.2,77.2,-5.0,10.7,0.434,Clear,10,5,176.3
12723,Express,Vijayawada,Gudur,266.0,71.5,17.3,7.0,0.197,Clear,6,4,202.1
12723,Express,Gudur,Chennai,228.7,64.9,1.7,13.8,0.43,Clear,9,4,212.6
12860,Express,Mumbai,Pune,209.4,71.1,18.7,12.8,0.368,Clear,23,1,205.6
12723,Express,Hyderabad,Kazipet,127.2,67.0,35.7,8.1,0.215,Clear,0,2,146.2
12723,Express,Warangal,Vijayawada,159.9,57.7,18.3,5.1,0.123,Clear,2,3,211.0
12627,Express,Vijayawada,Warangal,178.4,67.1,19.0,18.7,0.309,Clear,5,0,209.7
12860,Express,Mumbai,Pune,132.6,45.7,4.4,6.3,0.084,Fog,0,5,208.4
12259,Duronto,DDU,New Delhi,198.0,56.2,11.8,8.5,0.279,Clear,10,4,226.3
12301,Rajdhani,Gaya,Howrah,233.5,81.4,20.4,4.6,0.404,Clear,11,1,189.7
12860,Express,Mumbai,Pune,169.1,53.0,24.6,0.0,0.443,Clear,0,4,213.1
12259,Duronto,Asansol,Dhanbad,109.7,74.4,10.5,4.4,0.418,Clear,3,6,114.7
12951,Rajdhani,Mumbai,Surat,233.3,87.0,21.8,1.4,0.164,Clear,0,6,184.8
12259,Duronto,DDU,New Delhi,258.4,83.2,23.7,13.6,0.191,Clear,9,1,233.0
12860,Express,Pune,Solapur,147.6,55.1,14.5,22.1,0.134,Clear,2,0,192.8
12951,Rajdhani,Kota,New Delhi,189.2,63.1,19.1,7.8,0.307,Clear,9,0,214.4
12301,Rajdhani,Kanpur,Prayagraj,200.9,73.8,9.7,17.2,0.033,Clear,2,1,176.7
12627,Express,Chennai,Gudur,145.4,68.3,6.5,6.6,0.23,Clear,22,4,148.8
12301,Rajdhani,Gaya,Howrah,213.5,75.5,7.2,8.5,0.407,Clear,10,6,186.5
12951,Rajdhani,Kota,New Delhi,173.4,53.3,19.8,4.6,0.543,Clear,10,0,230.2
12627,Express,Chennai,Gudur,149.6,62.8,13.6,7.7,0.377,Rain,23,5,165.1
12301,Rajdhani,Prayagraj,DDU,154.2,53.4,1.5,15.0,0.229,Clear,4,6,177.7
12301,Rajdhani,DDU,Gaya,151.0,61.3,10.2,10.8,0.355,Fog,7,6,160.6
12951,Rajdhani,Kota,New Delhi,257.5,69.9,14.6,0.0,0.571,Rain,10,3,227.3
12860,Express,Kalaburagi,Wadi,82.6,61.2,12.3,0.0,0.129,Fog,9,6,99.9
12259,Duronto,Sealdah,Asansol,207.8,86.9,-5.0,15.3,0.09,Clear,0,2,155.9
12723,Express,Vijayawada,Gudur,155.2,55.9,16.0,17.7,0.568,Clear,5,1,233.6
12860,Express,Mumbai,Pune,222.6,63.5,3.5,6.9,0.233,Heavy Rain,23,2,210.3
12860,Express,Mumbai,Pune,161.6,48.9,11.4,15.9,0.268,Clear,23,4,218.5
12951,Rajdhani,Vadodara,Ratlam,250.1,76.9,-4.5,22.4,0.018,Clear,4,6,165.0
12860,Express,Kalaburagi,Wadi,104.0,69.1,21.8,16.8,0.748,Clear,9,4,116.7
12259,Duronto,Dhanbad,Gaya,163.9,65.6,-3.6,10.1,0.093,Clear,4,3,141.8
12627,Express,Vijayawada,Warangal,153.7,59.4,13.5,18.9,0.252,Rain,6,1,207.7
12259,Duronto,Asansol,Dhanbad,88.1,61.7,9.1,6.1,0.513,Rain,2,0,118.0
12860,Express,Kalaburagi,Wadi,86.9,65.6,27.0,21.6,0.629,Rain,8,6,112.1
12860,Express,Mumbai,Pune,188.5,55.6,28.9,0.9,0.208,Clear,23,2,212.8
12301,Rajdhani,DDU,Gaya,140.6,62.1,22.0,13.6,0.068,Clear,8,4,142.6
12951,Rajdhani,Ratlam,Kota,213.5,64.0,44.2,15.8,0.209,Fog,7,3,208.4
12860,Express,Solapur,Kalaburagi,93.6,41.9,11.1,0.0,0.248,Rain,6,4,180.7
12860,Express,Solapur,Kalaburagi,154.4,55.1,26.0,14.8,0.106,Clear,7,5,168.7
12860,Express,Mumbai,Pune,199.7,67.0,26.1,0.0,0.366,Rain,0,1,211.9
12627,Express,Vijayawada,Warangal,166.2,58.9,4.2,7.4,0.422,Clear,6,6,192.9
12301,Rajdhani,Gaya,Howrah,199.7,69.5,30.7,7.6,0.417,Clear,10,2,189.5
12951,Rajdhani,Mumbai,Surat,240.7,74.6,17.8,3.1,0.49,Clear,0,1,192.5
12723,Express,Gudur,Chennai,144.9,49.3,7.3,33.2,0.462,Clear,9,2,227.2
12301,Rajdhani,New Delhi,Kanpur,177.8,75.3,8.3,0.0,0.515,Clear,23,3,182.0
12951,Rajdhani,Ratlam,Kota,206.1,74.3,18.4,14.3,0.237,Clear,7,3,190.6
12627,Express,Nellore,Vijayawada,122.3,40.1,4.6,11.2,0.432,Clear,4,2,205.2
12860,Express,Solapur,Kalaburagi,122.3,51.0,25.0,5.5,0.316,Rain,5,5,187.2
12259,Duronto,Sealdah,Asansol,152.1,67.4,17.9,25.9,0.047,Clear,0,4,169.6
12951,Rajdhani,Mumbai,Surat,194.6,62.5,12.4,3.5,0.6,Heavy Rain,1,6,216.3
12259,Duronto,Sealdah,Asansol,184.9,68.5,31.7,6.7,0.353,Heavy Rain,23,5,184.6
12951,Rajdhani,Ratlam,Kota,220.5,73.4,7.6,3.9,0.577,Fog,8,1,205.1
12259,Duronto,Gaya,DDU,240.2,85.2,17.9,12.0,0.324,Rain,6,5,176.8
12723,Express,Hyderabad,Kazipet,145.8,63.5,9.7,1.9,0.317,Rain,0,1,147.9
12860,Express,Mumbai,Pune,252.5,74.0,-5.0,13.5,0.12,Clear,23,6,184.9
12259,Duronto,Dhanbad,Gaya,167.2,72.7,6.0,7.0,0.214,Clear,3,6,147.7
12723,Express,Kazipet,Warangal,40.0,68.8,21.4,12.9,0.488,Fog,1,1,65.8
12951,Rajdhani,Ratlam,Kota,240.4,81.5,13.6,11.3,0.067,Rain,8,4,201.9
12723,Express,Vijayawada,Gudur,220.3,61.9,27.5,4.7,0.557,Clear,5,6,219.1
12627,Express,Nellore,Vijayawada,191.7,69.1,21.7,17.3,0.441,Rain,4,2,195.3
12259,Duronto,Dhanbad,Gaya,156.5,66.9,13.1,18.1,0.359,Clear,3,6,153.2
12860,Express,Pune,Solapur,211.3,75.7,12.6,3.1,0.233,Clear,3,1,188.9
12259,Duronto,Sealdah,Asansol,183.8,83.5,9.9,14.9,0.286,Clear,0,1,170.0
12627,Express,Vijayawada,Warangal,166.3,59.9,7.6,1.9,0.697,Clear,7,3,205.0
12723,Express,Vijayawada,Gudur,176.2,54.3,-1.1,16.9,0.107,Fog,5,6,221.8
12860,Express,Pune,Solapur,224.3,65.6,0.6,4.8,0.247,Rain,4,3,190.8
12860,Express,Mumbai,Pune,208.6,61.8,-5.0,12.7,0.728,Fog,0,1,215.4
12951,Rajdhani,Surat,Vadodara,158.4,73.4,14.4,10.9,0.38,Clear,2,4,142.8
12723,Express,Warangal,Vijayawada,212.7,76.8,9.2,9.9,0.2,Clear,2,1,200.3
12259,Duronto,Gaya,DDU,187.0,79.6,6.4,0.0,0.085,Clear,6,5,164.0
12259,Duronto,Asansol,Dhanbad,110.4,62.5,13.5,3.5,0.422,Clear,2,2,103.9
12259,Duronto,Sealdah,Asansol,136.3,62.0,21.4,18.9,0.141,Clear,0,3,172.3
12627,Express,Warangal,Secunderabad,180.6,61.0,1.5,8.9,0.498,Heavy Rain,9,3,204.1
12951,Rajdhani,Vadodara,Ratlam,221.7,75.7,0.4,12.5,0.138,Rain,4,2,189.3
12723,Express,Warangal,Vijayawada,212.1,67.0,7.4,5.1,0.413,Clear,2,5,209.0
12723,Express,Hyderabad,Kazipet,106.4,55.9,9.6,1.6,0.283,Clear,0,2,153.1
12723,Express,Kazipet,Warangal,40.0,57.4,15.8,1.9,0.467,Rain,1,6,53.8
12951,Rajdhani,Mumbai,Surat,180.4,59.0,4.6,5.6,0.477,Clear,22,1,203.8
12860,Express,Solapur,Kalaburagi,129.9,50.4,40.1,3.3,0.335,Clear,5,3,179.0
12860,Express,Solapur,Kalaburagi,189.3,76.8,18.2,15.4,0.621,Clear,5,5,171.5
12627,Express,Vijayawada,Warangal,158.4,60.2,19.3,7.1,0.788,Clear,6,6,203.6
12627,Express,Vijayawada,Warangal,189.3,59.2,10.4,8.9,0.33,Clear,6,0,186.4
12259,Duronto,Dhanbad,Gaya,182.1,76.7,33.2,26.0,0.093,Fog,3,2,168.1
12723,Express,Warangal,Vijayawada,184.1,57.5,8.3,14.8,0.088,Clear,2,2,212.4
12627,Express,Chennai,Gudur,176.4,65.9,19.0,0.0,0.414,Clear,0,1,159.8
12860,Express,Solapur,Kalaburagi,207.7,82.1,24.4,8.0,0.344,Clear,5,6,170.0
12723,Express,Gudur,Chennai,238.8,65.7,14.2,9.6,0.572,Rain,8,3,209.9
12951,Rajdhani,Kota,New Delhi,217.8,69.8,22.1,8.1,0.402,Clear,11,1,221.8
12723,Express,Warangal,Vijayawada,146.5,49.7,24.7,0.0,0.161,Rain,2,3,224.8
12301,Rajdhani,New Delhi,Kanpur,175.8,66.1,19.1,19.7,0.426,Clear,0,3,171.2
12627,Express,Gudur,Nellore,87.1,74.1,5.5,14.7,0.111,Clear,2,2,77.4
12259,Duronto,Dhanbad,Gaya,145.2,66.1,12.4,12.2,0.23,Heavy Rain,3,6,163.1
12259,Duronto,Gaya,DDU,229.3,74.7,12.3,0.0,0.017,Fog,7,0,168.7
12951,Rajdhani,Mumbai,Surat,194.6,74.4,-5.0,9.9,0.364,Clear,0,0,183.2
12259,Duronto,Gaya,DDU,159.4,53.8,-5.0,11.2,0.359,Clear,6,0,176.0
12860,Express,Kalaburagi,Wadi,85.8,72.5,10.5,17.4,0.463,Rain,8,2,101.4
12951,Rajdhani,Kota,New Delhi,158.4,53.4,2.9,6.2,0.229,Fog,10,2,235.0
